page_url,image_url,movie_title,description,year,rating_kp,ratintg_imdb,genres,actors,country
/film/komnata-v-rime-2009/,/static/images/film/3/5297.jpg,Комната в Риме,"Русская девушка Наташа проводит каникулы в Риме, готовясь вскоре выйти замуж. В ночь перед отъездом в Москву она знакомится с Альбой, которая настойчиво зовет ее к себе в отель. Наташа соглашается и вместе с опытной испанкой погружается в исследование своей сексуальности. В перерывах девушки делятся сокровенными тайнами, а к утру осознают, что между ними возникло чувство сильнее, чем планировалось изначально.",2009,6.4,6.1,драма | мелодрама,Елена Анайя | Наташа Яровенко | Энрико Ло Версо | Найва Нимри | Эндер Мэллс | Лаура Меизосо,Испания
/film/moe-leto-ljubvi-2004/,/static/images/film/3/6989.jpg,Мое лето любви,"Однажды летом Мона, только что порвавшая со своим парнем, знакомится с Тамсин, приехавшей в провинцию на каникулы. Две противоположности находят в каждой нечто, что неожиданно сближает их. Они проводят вместе страстные, забавные, незабываемые дни! Но могут ли подруги полностью довериться друг другу?..",2004,6.2,6.7,триллер | драма | мелодрама,Натали Пресс | Эмили Блант | Пэдди Консидайн | Дин Эндрюс | Мишель Бирн | Пол Энтони-Барбер | Линетт Эдвардс,Великобритания
/film/nepovinovenie-2017/,/static/images/film/7/58680.jpg,Неповиновение,"Женщина возвращается в свой ортодоксальный еврейский дом после смерти раввина, своего отца. Общественное возмущение вызывает интерес, возникший у нее к подруге детства.",2017,6.4,6.6,драма | мелодрама,Рэйчел Вайс | Рэйчел МакАдамс | Алессандро Нивола | Энтон Лессер | Аллан Кордунер | Николас Вудесон | Дэвид Флишман,Великобритания | Ирландия | США
/film/nizhe-eyo-gub-2016/,/static/images/film/7/57170.jpg,Ниже её губ,"История неожиданной любви между двумя девушками. Молодая Даллас влюбляется в красотку Жасмин, редактора модного журнала. Вскоре их интрижка перерастает во что-то большее.",2016,6.3,5.5,драма | мелодрама,Эрика Линдер | Натали Крилл | Себастьян Пижотт | Мэйко Нгуйен | Томми-Амбер Пири | Мелани Лишман | Андреа Штефанчикова,Канада
/film/otverzhennaya-2011/,/static/images/film/6/46289.jpg,Отверженная,"История о девочке-подростоке из Бруклина, ее жизни полной противоречий. Вместо платья она носит мешковатые мальчиковые джинсы и рубашки. Отчаянно стремится найти свою любовь, окруженная стеной непонимания со стороны семьи и друзей из-за своей сексуальной ориентации.",2011,6.3,7.2,драма,Эдеперо Одуйе Alike | Пернелл Уолкер Laura | Ааша Дэвис Bina | Чарльз Парнелл Arthur | Сахра Меллесс Sharonda | Ким Уайанс Audrey | Шэмика Коттон Candace,США
/film/pobochnyjj-ehffekt-2013/,/static/images/film/1/596.jpg,Побочный эффект,"У Эмили начались психологические проблемы, когда ее мужа посадили в тюрьму. Спустя 4 года он выходит, а Эмили впадает в депрессию и, вроде бы, пытается покончить с собой. Психотерапевт назначает ей лекарства, но сама Эмили хочет принимать новый препарат, который ей советует коллега по работе.",2013,7.0,7.1,триллер | драма | криминал | детектив,Джуд Лоу | Руни Мара | Кэтрин Зета-Джонс | Ченнинг Татум | Винесса Шоу | Майкл Натансон | Питер Фридман,США
/film/portret-devushki-v-ogne-2019/,/static/images/film/7/60297.jpg,Портрет девушки в огне,"Бретань, 1770. Марианна, художница, приезжает в имение на побережье, чтобы написать портрет дочери его владелицы — Элоизы. Картина нужна, чтобы отправить жениху Элоизы в Милан. В знак протеста против замужества девушка отказывается позировать, и гостью представляют как компаньонку для прогулок. Проводя все больше времени вместе, девушки начинают чувствовать взаимное притяжение.",2019,7.3,8.1,драма,Noémie Merlant | Адель Энель Héloïse | Луана Байрами | Валерия Голино | Кристель Барас | Armande Boulanger L'élève atelier | Гай Деламарш,Франция
/film/samyj-schastlivyj-sezon-2020/,/static/images/film/7/66149.jpg,Самый счастливый сезон,"Эбби планирует сделать предложение своей девушке Харпер во время празднования Рождества в доме её семьи. Но выясняется, что её возлюбленная всё ещё не рассказала своим консервативным родителям, что она - лесбиянка. Опасаясь осуждения семьи, Харпер представляет Эбби родственникам как свою лучшую подругу, с которой они вместе снимают квартиру.",2020,6.5,6.6,драма | мелодрама | комедия,Кристен Стюарт | Маккензи Дэвис | Мэри Стинберген | Виктор Гарбер | Элисон Бри | Мэри Холлэнд | Дэн Леви,США | Канада
/film/shougelz-1995/,/static/images/film/1/535.jpg,Шоугелз,"Молодая длинноногая танцовщица Номи отчаянно пытается добиться успеха в Лас-Вегасе и проникнуть в блистающий мир ярких огней, блеска и света шоу — сцены. Чтобы удержаться «на плаву», она соглашается на единственно возможную работу — стриптиз, пока ей не удается вытянуть свой счастливый билет — познакомиться с королевой сцены Лас-Вегаса Кристал.Используя свое влияние, Кристал устраивает Номи в свое шоу и вводит ее в истинный мир шоу-бизнеса Лас-Вегаса — мир случая, предательства и интриг, в котором сексуальность можно использовать как власть.",1995,6.9,4.9,драма,Элизабет Беркли | Кайл МакЛоклен | Джина Гершон | Гленн Пламмер | Роберт Дави | Алан Рачинс | Джина Равера,Франция | США
/film/skandal-2019/,/static/images/film/7/61648.jpg,Скандал,"История женщин, которые разоблачили и свергли с трона своего босса — печально известного основателя самой могущественной и противоречивой медиаимперии всех времен.",2019,6.4,6.8,драма | биография,Шарлиз Терон | Николь Кидман | Марго Робби | Джон Литгоу | Эллисон Дженни | Малкольм МакДауэлл | Кейт МакКиннон,США | Канада
/film/sluzhanka-2016/,/static/images/film/7/54846.jpg,Служанка,"1930-е годы, Корея под властью Японии. Мошенник по прозвищу Граф предлагает бедной девушке Сук-хи поучаствовать в деле, обещая солидный заработок. Он рассчитывает очаровать богатую японку Хидэко, сбежать с ней в Японию, жениться, затем объявить её сумасшедшей, упечь в дурдом и завладеть богатством. А Сук-хи должна ему помочь, нанявшись в услужение к Хидэко. Что она и сделала. Но внезапно идеальный план Графа оказывается под угрозой.",2016,7.6,8.1,мелодрама | триллер | история | детектив | драма,Ким Мин Хи | Ким Тхэ-ри | Ха Чон У | Чо Чжин Ун | Ким Хэ Сук | Мун Со Ри | И Ён Нё,Корея Южная
/film/svjaz-1996/,/static/images/film/5/9356.jpg,Связь,"Один из членов мафии присвоил два миллиона долларов, был разоблачен, подвергнут пыткам и убит. Все это происходило на глазах Вайолет, любовницы гангстера Сизара, у них дома. Она вообще многое знала, поскольку Сизар никогда ничего от нее не скрывал. А в соседней квартире обосновалась только что вышедшая из тюрьмы суперсексуальная лесбиянка Корки.Так родилась страстная связь двух женщин, а вместе с ней и идея присвоить те самые миллионы, которые хранятся у Сизара для босса мафии Джино Марзоне. Но не все пошло так, как было задумано.",1996,7.4,7.3,триллер | криминал | мелодрама,Дженнифер Тилли | Джина Гершон | Джо Пантольяно | Джон П. Райан | Кристофер Мелони | Ричард С. Сарафьян | Мэри Мара,США
/film/vas-ne-dogonjat-2001/,/static/images/film/2/4344.jpg,Вас не догонят,"Подруги. Соседки по комнате. Влюбленные. В дорогом частном колледже, затерянном в густом лесу, шестнадцатилетних воспитанниц учат всему: от иностранных языков до фехтования. Единственное, чему невозможно научить — как скрыть первое чувство любви, если оно направлено на твою соседку по комнате. Как проявить это запретное чувство, чтобы не стать изгоем, чтобы добиться того же в ответ…",2001,7.4,6.8,драма | мелодрама,Пайпер Перабо Pauline «Paulie» Oster | Джессика Паре Victoria «Tori» Moller | Миша Бартон Mary «Mouse» Bedford | Джеки Барроуз | Мими Кузык | Грэм Грин | Эмили ВанКэмп,Канада
/film/vita-i-virdzhiniya-2018/,/static/images/film/7/60523.jpg,Вита и Вирджиния,"В эпоху разлагающейся морали, блистательного джаза и контрабандного алкоголя, светская львица Вита Сэквилл-Уэст знакомится с «королевой литературы» Вирджинией Вульф. Ярое противостояние перерастает во взаимную симпатию, а симпатия — в головокружительный роман, который потрясет высшее общество и навсегда изменит их жизни.",2018,6.4,5.8,драма | мелодрама | биография,Джемма Артертон | Элизабет Дебики | Изабелла Росселлини | Руперт Пенри-Джонс | Питер Фердинандо | Эмиральд Феннел | Гетин Энтони,Великобритания | Ирландия
